Country,Countryrank,Hospital,Score,City,Year
Canada,64,Peterborough Regional Health Centre,68.82,Peterborough,2021
Canada,65,Scarborough Health Network - Centenary hospital,68.68,Toronto,2021
Canada,66,Queen Elizabeth Hospital,68.45,Charlottetown,2021
France,1,AP-HP - Hôpital Universitaire Pitié Salpêtrière,91.99,Paris,2021
France,2,AP-HP - Hôpital Européen Georges Pompidou,90.85,Paris,2021
France,3,CHU Lille - Hôpital Claude-Huriez,84.71,Lille,2021
France,4,CHU Bordeaux - Groupe hospitalier Pellegrin,82.85,Bordeaux,2021
France,5,Hôpital Paris Saint-Joseph,82.48,Paris,2021
France,6,CHU Toulouse - Hôpital Purpan,82.43,Toulouse,2021
France,7,Polyclinique Santé Atlantique,80.08,St Herblain,2021
France,8,Hospices Civils de Lyon - Hôpital Lyon Sud,80.01,Pierre Benite,2021
France,9,CHU Strasbourg - Hôpital de Hautepierre,79.95,Strasbourg,2021
France,10,CHU Grenoble - Site Nord,79.76,La Tronche,2021
France,11,AP-HM - Hôpital de la Timone,79.59,Marseille,2021
France,12,CHU Nantes - Site Hôtel-Dieu,79.58,Nantes,2021
France,13,Clinique Francois Chenieux,79.46,Limoges,2021
France,14,CHRU Nancy - Hôpital Central,79.39,Nancy,2021
France,15,AP-HP - Hôpital Henri-Mondor,78.97,Creteil,2021
France,16,Hospices Civils de Lyon - CHU Louis Pradel,78.92,Bron,2021
France,17,Elsan - Clinique Saint-Augustin,78.65,Bordeaux,2021
France,18,AP-HM - Hôpital Nord,78.49,Marseille,2021
France,19,AP-HP - Hôpital Cochin,78.45,Paris,2021
France,20,Clinique Pasteur,78.42,Toulouse,2021
France,21,Hospices Civils de Lyon - Hôpital Edouard Herriot,78.41,Lyon,2021
France,22,Clinique de l'Anjou,78.22,Angers,2021
France,23,Hôpital Européen,78.14,Marseille,2021
France,24,Polyclinique Reims-Bezannes,78.11,Bezannes,2021
France,25,AP-HP - Hôpital Bichat-Claude-Bernard,78.04,Paris,2021
France,26,CHU Amiens-Picardie,77.95,Amiens,2021
France,27,AP-HP - Hôpital Saint-Antoine,77.83,Paris,2021
France,28,CHU Nîmes - Hopital Carémeau,77.79,Nîmes,2021
France,29,CHU Tours - Hôpital Bretonneau,76.29,Tours,2021
France,30,CHU Angers - Site Larrey,76.25,Angers,2021
France,31,Ramsay Santé - Hopital Prive Jean Mermoz,76.06,Lyon,2021
France,32,Hôpital Saint-Joseph,75.94,Marseille,2021
France,33,Hopital Privé de Provence - Polyclinique du Parc Rambot,75.85,Aix En Provence,2021
France,34,Clinique de L'Europe Rouen,75.79,Rouen,2021
France,35,Ramsay Santé - Hopital Prive La Louviere,75.77,Lille,2021
France,36,Hôpitaux Privés de Metz - Hôpital Belle-Isle,75.73,Metz,2021
France,37,CH Privé - St Grégoire,75.54,St Grégoire,2021
France,38,CHU Strasbourg - Hôpital Civil,75.43,Strasbourg,2021
France,39,Hospices Civils de Lyon - Hôpital de la Croix-Rousse,75.4,Lyon,2021
France,40,Hôpitaux Privés de Metz - Hôpital Robert Schuman,75.36,Vantoux,2021
France,41,Hopital Americain,75.25,Neuilly Sur Seine,2021
France,42,Clinique Rhena Association,75.24,Strasbourg,2021
France,43,CHU Lyon - Hôpital Renée Sabran,75.23,Hyeres,2021
France,44,CHU Rennes - Site Pontchaillou,75.18,Rennes,2021
France,45,Elsan - Hôpital Privé la Châtaigneraie,74.9,Beaumont,2021
France,46,Hôpital Albert Schweitzer,74.89,Colmar,2021
France,47,CHU Dijon-Bourgogne - Hopital François Mitterant,74.77,Dijon,2021
France,48,CHU Bordeaux - Hôpital Saint-André,74.76,Bordeaux,2021
France,49,Elsan - Polyclinique de Gentilly,74.66,Nancy,2021
France,50,AH-HP - Hôpital Antoine Béclère,74.64,Clamart,2021
France,51,Clinique Saint-George,74.54,Nice,2021
France,52,Clinique Mutualiste Jules-Vernes,74.42,Nantes,2021
France,53,Ramsay Santé - Hopital Prive Dijon Bourgogne,74.14,Dijon,2021
France,54,CHU Nice - Hôpital Pasteur,74.11,Nice,2021
France,55,AP-HP - Hôpital Saint-Louis,74.07,Paris,2021
France,56,Médipôle de Savoie,73.98,Challes Les Eaux,2021
France,57,Infirmerie Protestante de Lyon,73.96,Caluire Et Cuire,2021
France,58,Ramsay Santé - Clinique de l'Union,73.96,St. Jean,2021
France,59,Ramsay Santé - Hopital Privé Le Bois,73.89,Lille,2021
France,60,CHU Saint-Étienne - Hôpital Bellevue,73.78,St Etienne,2021
France,61,Ramsay Santé - Hopital Prive de La Loire,73.71,St. Etienne,2021
France,62,AP-HP - Hôpital Bicêtre,73.7,Le Kremlin Bicetre,2021
France,63,Centre Hospitalier Ouest Reunion,73.51,St Paul,2021
France,64,Institut Mutualiste Montsouris,73.38,Paris,2021
France,65,Clinique Rive-Gauche,73.36,Toulouse,2021
France,66,Ramsay Santé - Clinique des Cèdres,73.34,Cornebarrieu,2021
France,67,Clinique Saint Germain,73.3,St Germain En Laye,2021
France,68,Pôle santé Oréliance,73.27,Saran,2021
France,69,CHU Clermont-Ferrand - CHU Gabriel-Montpied,73.26,Clermont Ferrand,2021
France,70,Elsan - CHP Brest - Polyclinique de Keraudren,73.2,Brest,2021
France,71,Hôpital Privé du Confluent,73.07,Nantes,2021
France,72,Clinique Internationale Parc Monceau,73.03,Paris,2021
France,73,Ramsay Santé - Hôpital Privé Clairval,72.95,Marseille,2021
France,74,Centre Hospitalier Grasse,72.89,Grasse,2021
France,75,CHU Toulouse - Hôpital Rangueil,72.83,Toulouse,2021
France,76,CHU Caen Normandie - Hôpital Côte de Nacre,72.8,Caen,2021
France,77,AP-HP - Hôpital Albert Chenevier,72.79,Creteil,2021
France,78,CHU Grenoble - Site Sud,72.78,Echirolles,2021
France,79,Hôpital Privé des Côtes-d'Armor,72.74,Plerin,2021
France,80,CH Colmar - Hôpital Louis Pasteur,72.69,Colmar,2021
France,81,Ramsay Santé - Hôpital Privé Saint-Martin,72.68,Caen,2021
France,82,Centre Hospitalier Toulon - Hôpital Sainte Musse,72.55,Toulon,2021
France,83,Nouvelle Clinique Bel-Air,72.54,Bordeaux,2021
France,84,Centre Hospitalier Le Mans,72.47,Le Mans,2021
France,85,Clinique Mutualiste de La Sagesse,72.46,Rennes,2021
France,86,CHU Montpellier - Hopital Lapeyronie,72.43,Montpellier,2021
France,87,Hopital de La Croix Saint Simon,72.23,Paris,2021
France,88,CHU Poitiers - La Milétrie,72.22,Poitiers,2021
France,89,CH Valenciennes,72.22,Valenciennes,2021
France,90,CHU Brest - Hôpital Morvan,72.21,Brest,2021
France,91,Elsan - Polyclinique Médipôle Saint-Roch,72.21,Cabestany,2021
France,92,Elsan - Clinique Saint-Pièrre,72.21,Perpignan,2021
France,93,CHU Rouen Normandie - Hôpital Charles-Nicolle,72.19,Rouen,2021
France,94,Centre Hospitalier Saint-Brieuc - Hôpital Yves Le Foll,72.14,St Brieuc,2021
France,95,Hôpital Foch,72.07,Suresnes,2021
France,96,Clinique de Saint Joseph,72.03,St Joseph,2021
France,97,CHR Metz-Thionville - Hôpital de Mercy,72.02,Ars Laquenexy,2021
France,98,CHI Créteil,71.82,Creteil,2021
France,99,Groupement des Hôpitaux de l'Institut Catholique de Lille - Hôpital Saint Vincent de Paul,71.8,Lille,2021
France,100,AP-HP - Hôpital Lariboisière,71.63,Paris,2021
France,101,CH Annecy Genevois - site Annecy,71.61,Annecy,2021
France,102,Elsan - Polyclinique de Poitiers,71.6,Poitiers,2021
France,103,Centre Hospitalier de Cannes,71.54,Cannes,2021
France,104,Centre Hospitalier de Cornouaille - Site de Laënnec,71.48,Quimper,2021
France,105,Ramsay Santé - Hôpital Privé Bois Bernard,71.47,Bois Bernard,2021
France,106,CHRU Nancy - Hôpitaux de Brabois,71.42,Vandoeuvre Les Nancy,2021
France,107,CHU Lille - Hôpital Salengro,71.39,Lille,2021
France,108,CHU Besançon - Hôpital Jean Minjoz,71.23,Besançon,2021
France,109,Ramsay Santé - Clinique La Croix du Sud,71.21,Quint-Fonsegrives,2021
France,110,Clinique Belledonne,71.16,Saint-Martin-d'Hères,2021
France,111,Pôle Santé Léonard-de-Vinci,71.05,Chambray Les Tours,2021
France,112,Centre Hospitalier Saint Joseph et Saint Luc,70.62,Lyon,2021
France,113,Ramsay Santé - Clinique Belharra,70.58,Bayonne,2021
France,114,AP-HP - Hôpital Tenon,70.38,Paris,2021
France,115,Polyclinique Saint-Roch,70.27,Montpellier,2021
France,116,Ramsay Santé - Hôpital Privé d'Antony,70.18,Antony,2021
France,117,Elsan - Polyclinique Vauban,70.16,Valenciennes,2021
France,118,Centre Hospitalier Privé Sainte Marie,70.12,Osny,2021
Germany,1,Charité - Universitätsmedizin Berlin,93.16,Berlin,2021
Germany,2,Universitätsklinikum Heidelberg,92.8,Heidelberg,2021
Germany,3,Klinikum der Universität München,84.11,München,2021
Germany,4,Klinikum rechts der Isar der Technischen Universität München,83.84,München,2021
Germany,5,Medizinische Hochschule Hannover,83.32,Hannover,2021
Germany,6,Universitätsklinikum Tübingen,83.06,Tübingen,2021
Germany,7,Universitätsklinikum Hamburg-Eppendorf,82.55,Hamburg,2021
Germany,8,Universitätsklinikum Freiburg,82.28,Freiburg,2021
Germany,9,Universitätsklinikum Köln,82.06,Köln,2021
Germany,10,Universitätsklinikum Essen,81.7,Essen,2021
Germany,11,Universitätsklinikum Erlangen,80.66,Erlangen,2021
Germany,12,Universitätsklinikum Regensburg,80.63,Regensburg,2021
Germany,13,Universitätsklinikum Carl Gustav Carus Dresden,80.25,Dresden,2021
Germany,14,Universitätsmedizin der Johannes Gutenberg-Universität Mainz,79.46,Mainz,2021
Germany,15,Universitätsklinikum Ulm,79.28,Ulm,2021
Germany,16,Universitätsklinikum Würzburg,79.06,Würzburg,2021
Germany,17,Universitätsklinikum Düsseldorf,79.01,Düsseldorf,2021
Germany,18,Universitätsklinikum Bonn,78.82,Bonn,2021
Germany,19,Universitätsklinikum des Saarlandes,78.12,Homburg,2021
Germany,20,Universitätsklinikum RWTH Aachen,77.87,Aachen,2021
Germany,21,Robert-Bosch-Krankenhaus,77.4,Stuttgart,2021
Germany,22,Universitätsklinikum Schleswig-Holstein - Campus Kiel,76.09,Kiel,2021
Germany,23,Universitätsklinikum Leipzig,75.95,Leipzig,2021
Germany,24,Universitätsklinikum Jena,75.35,Jena,2021
Germany,25,Universitätsklinikum Münster,75.28,Münster,2021
Germany,26,Berufsgenossenschaftliches Universitätsklinikum Bergmannsheil,75.09,Bochum,2021
Germany,27,Universitätsklinikum Frankfurt,74.8,Frankfurt am Main,2021
Germany,28,Universitätsmedizin Greifswald,74.6,Greifswald,2021
Germany,29,BG Klinikum Bergmannstrost Halle,74.49,Halle (Saale),2021
Germany,30,Asklepios Klinik Barmbek,74.43,Hamburg,2021
Germany,31,Universitätsmedizin Göttingen,74,Göttingen,2021
Germany,32,Universitätsklinikum Schleswig-Holstein - Campus Lübeck,73.93,Lübeck,2021
Germany,33,München Klinik Bogenhausen,73.77,München,2021
Germany,34,Marienhospital Stuttgart,73.37,Stuttgart,2021
Germany,35,Klinikum Nürnberg Nord,73.25,Nürnberg,2021
Germany,36,Kliniken der Stadt Köln - Krankenhaus Merheim,73.11,Köln,2021
Germany,37,Asklepios Klinik St. Georg,73.09,Hamburg,2021
Germany,38,St. Franziskus-Hospital Münster,73.09,Münster,2021
Germany,39,Albertinen-Krankenhaus,73.07,Hamburg,2021
Germany,40,BundeswehrZentralkrankenhaus Koblenz,72.88,Koblenz,2021
Germany,41,Helios Park-Klinikum Leipzig,72.85,Leipzig,2021
Germany,42,Universitätsklinikum Mannheim,72.81,Mannheim,2021
Germany,43,Isar Klinikum,72.74,München,2021
Germany,44,Städtisches Klinikum Dresden - Standort Friedrichstadt,72.74,Dresden,2021
Germany,45,Universitätsklinikum Gießen und Marburg - Standort Marburg,72.73,Marburg,2021
Germany,46,Asklepios Klinik Altona,72.5,Hamburg,2021
Germany,47,Klinikum Nürnberg Süd,72.5,Nürnberg,2021
Germany,48,Krankenhaus Hedwigshöhe Berlin,72.39,Berlin,2021
Germany,49,Krankenhaus der Barmherzigen Brüder Regensburg,72.34,Regensburg,2021
Germany,50,Universitätsklinikum Magdeburg,72.33,Magdeburg,2021
Germany,51,Klinikum Stuttgart - Katharinenhospital,72.27,Stuttgart,2021
Germany,52,Krankenhaus Martha-Maria Halle-Dölau,72.27,Halle (Saale),2021
Germany,53,Krankenhaus der Barmherzigen Brüder Trier,72.23,Trier,2021
Germany,54,Klinikum Dortmund Nord,72.23,Dortmund,2021
Germany,55,Kliniken Essen-Mitte - Standort Essen-Huttrop,72.19,Essen,2021
Germany,56,St. Hedwig-Krankenhaus Berlin,72.16,Berlin,2021
Germany,57,Schön Klinik Hamburg Eilbek,72.08,Hamburg,2021
Germany,58,Universitätsklinikum Knappschaftskrankenhaus Bochum,71.95,Bochum,2021
Germany,59,Schön Klinik Neustadt,71.84,Neustadt in Holstein,2021
Germany,60,Waldkliniken Eisenberg,71.83,Eisenberg,2021
Germany,61,Bundeswehrkrankenhaus Berlin,71.6,Berlin,2021
Germany,62,Bundeswehrkrankenhaus Ulm,71.58,Ulm,2021
Germany,63,Universitätsklinikum Halle (Saale),71.54,Halle (Saale),2021
Germany,64,Städtisches Klinikum Karlsruhe,71.53,Karlsruhe,2021
Germany,65,DRK Kliniken Berlin Köpenick,71.42,Berlin,2021
Germany,66,St. Elisabeth-Krankenhaus Leipzig,71.37,Leipzig,2021
Germany,67,Universitätsmedizin Rostock,71.27,Rostock,2021
Germany,68,Krankenhaus Nordwest,71.23,Frankfurt am Main,2021
Germany,69,Brüderhaus Koblenz,71.2,Koblenz,2021
Germany,70,Zentralklinik Bad Berka,71.2,Bad Berka,2021
Germany,71,Israelitisches Krankenhaus Hamburg,71.16,Hamburg,2021
Germany,72,Evangelisches Krankenhaus Königin Elisabeth Herzberge,71.1,Berlin,2021
Germany,73,HELIOS Klinikum Erfurt,71.08,Erfurt,2021
Germany,74,Klinikum der Stadt Ludwigshafen am Rhein,71.05,Ludwigshafen,2021
Germany,75,Alfried Krupp Krankenhaus Rüttenscheid,71.02,Essen,2021
Germany,76,St. Johannes-Hospital Dortmund,70.99,Dortmund,2021
Germany,77,Agaplesion Markus Krankenhaus,70.92,Frankfurt am Main,2021
Germany,78,St. Josef-Hospital Bochum,70.89,Bochum,2021
Germany,79,Gemeinschaftskrankenhaus Bonn - Haus St. Petrus,70.8,Bonn,2021
Germany,80,Diakonissenkrankenhaus Dresden,70.78,Dresden,2021
Germany,81,Klinikum der Universität Augsburg,70.78,Augsburg,2021
Germany,82,Herzogin Elisabeth Hospital,70.74,Braunschweig,2021
Germany,83,SRH Klinikum Karlsbad-Langensteinbach,70.69,Karlsbad,2021
Germany,84,Vivantes Humboldt-Klinikum,70.69,Berlin,2021
Germany,85,Klinikum St. Elisabeth Straubing,70.55,Straubing,2021
Germany,86,Diakonie-Klinikum Stuttgart,70.45,Stuttgart,2021
Germany,87,Universitätsklinikum Gießen und Marburg - Standort Gießen,70.39,Gießen,2021
Germany,88,Klinikum Fulda,70.34,Fulda,2021
Germany,89,Krankenhaus St. Joseph-Stift Dresden,70.32,Dresden,2021
Germany,90,Caritas-Krankenhaus St. Josef,70.21,Regensburg,2021
Germany,91,Bürgerhospital Frankfurt,70.14,Frankfurt am Main,2021
Germany,92,DRK Kliniken Berlin Westend,70.07,Berlin,2021
Germany,93,Krankenhaus der Augustinerinnen,69.93,Köln,2021
Germany,94,SRH Wald-Klinikum Gera,69.93,Gera,2021
Germany,95,Katholisches Marienkrankenhaus Hamburg,69.88,Hamburg,2021
Germany,96,Krankenhaus Spremberg,69.88,Spremberg,2021
Germany,97,Klinikum Ingolstadt,69.85,Ingolstadt,2021
Germany,98,Kreisklinikum Siegen,69.85,Siegen,2021
Germany,99,Ludgerus-Kliniken Münster - Clemenshospital,69.77,Münster,2021
Germany,100,Schwarzwald-Baar Klinikum Villingen-Schwenningen,69.74,Villingen-Schwenningen,2021
Germany,101,Helios Klinikum Berlin-Buch,69.74,Berlin,2021
Germany,102,Sana Klinikum Offenbach,69.7,Offenbach,2021
Germany,103,Städtisches Klinikum Braunschweig gGmbH,69.69,Braunschweig,2021
Germany,104,München Klinik Neuperlach,69.68,München,2021
Germany,105,Klinikum Dritter Orden - München-Nymphenburg,69.68,München,2021
Germany,106,St. Elisabeth-Krankenhaus Köln,69.67,Köln,2021
Germany,107,St. Vincenz und Elisabeth Hospital Mainz,69.66,Mainz,2021
Germany,108,Evangelisches Klinikum Bethel - Standort Johannesstift,69.66,Bielefeld,2021
Germany,109,St. Josefs-Hospital,69.65,Wiesbaden,2021
Germany,110,Klinikum Esslingen,69.65,Esslingen am Neckar,2021
Germany,111,Gemeinschaftskrankenhaus Havelhöhe,69.62,Berlin,2021
Germany,112,Klinikum Kassel,69.59,Kassel,2021
Germany,113,Klinikum Würzburg Mitte - Juliusspital,69.54,Würzburg,2021
Germany,114,Städtisches Klinikum Dresden - Standort Neustadt,69.32,Dresden,2021
Germany,115,Klinikum Darmstadt,69.3,Darmstadt,2021
Germany,116,Benedictus Krankenhaus,69.27,Tutzing,2021
Germany,117,Agaplesion Diakonieklinikum Hamburg,69.25,Hamburg,2021
Germany,118,Klinikum Ludwigsburg,69.22,Ludwigsburg,2021
Germany,119,Krankenhaus Salem der Evang. Stadtmission Heidelberg,69.2,Heidelberg,2021
Germany,120,Klinikum St. Georg Leipzig,69.09,Leipzig,2021
Germany,121,Klinikum St. Marien,68.96,Amberg,2021
Germany,122,Krankenhaus Waldfriede e.V.,68.94,Berlin,2021
Germany,123,Krankenhaus Bad Cannstatt,68.88,Stuttgart,2021
Germany,124,Krankenhaus St. Franziskus,68.88,Mönchengladbach,2021
Germany,125,SLK-Kliniken Heilbronn GmbH - Klinikum am Plattenwald,68.85,Bad Friedrichshall,2021
Germany,126,Kliniken Erlabrunn,68.83,Breitenbrunn,2021
Germany,127,Barmherzige Brüder Krankenhaus München,68.81,München,2021
Germany,128,Klinikum Bremen-Mitte,68.78,Bremen,2021
Germany,129,HELIOS Klinikum Krefeld,68.61,Krefeld,2021
Germany,130,Krankenhaus Martha-Maria Nürnberg,68.56,Nürnberg,2021
Germany,131,Klinikum Links der Weser,68.39,Bremen,2021
Germany,132,Evangelisches Waldkrankenhaus Spandau,68.38,Berlin,2021
Germany,133,Klinikum Garmisch-Partenkirchen,68.32,Garmisch-Partenkirchen,2021
Germany,134,St.-Antonius-Hospital,68.26,Eschweiler,2021
Germany,135,Herz-Jesu-Krankenhaus Fulda,68.23,Fulda,2021
Germany,136,Klinikum Südstadt Rostock,68.19,Rostock,2021
Germany,137,"Gemeinschaftskrankenhaus Bonn, Haus St. Elisabeth",68.17,Bonn,2021
Germany,138,Elisabeth-Krankenhaus Essen,68.09,Essen,2021
Germany,139,Vivantes Klinikum im Friedrichshain,68.01,Berlin,2021
Germany,140,St. Vinzenz-Hospital,67.9,Köln,2021
Germany,141,DRK-Krankenhaus Mecklenburg-Strelitz,67.9,Neustrelitz,2021
Germany,142,Franziskus Hospital Bielefeld,67.87,Bielefeld,2021
Germany,143,Diakonissenkrankenhaus Flensburg,67.83,Flensburg,2021
Germany,144,Rotes Kreuz Krankenhaus Bremen,67.77,Bremen,2021
Germany,145,Sana Klinikum Lichtenberg,67.75,Berlin,2021
Germany,146,Collm Klinik Oschatz,67.7,Oschatz,2021
Germany,147,Alb-Donau Klinikum Standort Langenau,67.63,Langenau,2021
Germany,148,Diakovere Friederikenstift,67.6,Hannover,2021
Germany,149,Bundeswehrkrankenhaus Hamburg,67.58,Hamburg,2021
Germany,150,Agaplesion Diakonieklinikum Rotenburg,67.58,Rotenburg (Wümme),2021
Germany,151,Bonifatius Hospital Lingen,67.53,Lingen,2021
Germany,152,Klinikum Landshut,67.53,Landshut,2021
Germany,153,Evangelisches Krankenhaus Essen-Steele,67.5,Essen,2021
Germany,154,Knappschaftskrankenhaus Bottrop,67.42,Bottrop,2021
Germany,155,St. Anna Krankenhaus,67.37,Sulzbach-Rosenberg,2021
Germany,156,Klinikum Wolfsburg,67.37,Wolfsburg,2021
Germany,157,Klinikum Fürth,67.37,Fürth,2021
Germany,158,Karl-Olga-Krankenhaus,67.36,Stuttgart,2021
Germany,159,St. Marien-Krankenhaus Siegen,67.34,Siegen,2021
Germany,160,Vivantes Auguste-Viktoria-Klinikum,67.34,Berlin,2021
Germany,161,Klinikum Leverkusen,67.34,Leverkusen,2021
Germany,162,Caritas-Krankenhaus Bad Mergentheim,67.33,Bad Mergentheim,2021
Germany,163,SHG-Kliniken Völklingen,67.32,Völklingen,2021
Germany,164,Klinikum Ernst von Bergmann,67.31,Potsdam,2021
Germany,165,Vivantes Klinikum Spandau,67.31,Berlin,2021
Germany,166,Klinikum Saarbrücken,67.27,Saarbrücken,2021
Germany,167,DRK-Krankenhaus Clementinenhaus,67.26,Hannover,2021
Germany,168,Marienkrankenhaus Kassel,67.23,Kassel,2021
Germany,169,GFO Kliniken Bonn - Betriebstätte St. Marien,67.23,Bonn,2021
Germany,170,Evangelisches Diakoniekrankenhaus,67.18,Freiburg,2021
Germany,171,Vivantes Klinikum Am Urban,67.17,Berlin,2021
Germany,172,Asklepios Klinikum Harburg,67.15,Hamburg,2021
Switzerland,1,Centre Hospitalier Universitaire Vaudois,93.4,Lausanne,2021
Switzerland,2,Universitätsspital Zürich,92.15,Zürich,2021
Switzerland,3,Universitätsspital Basel,91.93,Basel,2021
Switzerland,4,Les Hôpitaux Universitaires de Genève (HUG) - Cluse-Roseraie,89.71,Genève,2021
Switzerland,5,Klinik Hirslanden Zürich,89.09,Zürich,2021
Switzerland,6,Claraspital,86.97,Basel,2021
Switzerland,7,Lindenhofspital Bern,79.21,Bern,2021
Switzerland,8,Stadtspital Triemli,79.17,Zürich,2021
Switzerland,9,Hirslanden Klinik Aarau,78.71,Aarau,2021
Switzerland,10,Clinique Générale-Beaulieu,78.03,Genève,2021
Switzerland,11,Bethesda Spital,77.19,Basel,2021
Switzerland,12,Luzerner Kantonsspital,76.06,Luzern,2021
Switzerland,13,Inselspital Bern,75.85,Bern,2021
Switzerland,14,Clinique de La Source,75.28,Lausanne,2021
Switzerland,15,Hirslanden Klinik Im Park,74.23,Zürich,2021
Switzerland,16,Spital Zollikerberg,74.18,Zollikerberg,2021
Switzerland,17,Kantonsspital Winterthur,73.29,Winterthur,2021
Switzerland,18,Hirslanden Klinik St. Anna,73.06,Luzern,2021
Switzerland,19,Kantonsspital Baden,72.37,Baden,2021
Switzerland,20,Hôpital de la Tour,71.98,Meyrin,2021
Switzerland,21,Kantonsspital St. Gallen,71.65,St. Gallen,2021
Switzerland,22,Zuger Kantonsspital,71.57,Baar,2021
Switzerland,23,EOC Ospedale Regionale di Locarno - La Carità,71.54,Locarno,2021
Switzerland,24,Privatklinik Bethanien,71.3,Zürich,2021
Switzerland,25,Kantonsspital Baselland,71.07,Liestal,2021
Switzerland,26,Hirslanden Klinik Bern Beau-Site,70.99,Bern,2021
Switzerland,27,Genolier Clinique,70.96,Genolier,2021
Canada,1,Toronto General - University Health Network,91.7,Toronto,2020
Canada,2,Sunnybrook Health Sciences Centre,88.9,Toronto,2020
Canada,3,Mount Sinai Hospital,87.7,Toronto,2020
Canada,4,North York General Hospital,87.5,Toronto,2020
Canada,5,Jewish General Hospital,86,Montreal,2020
Canada,6,Rockyview General Hospital,85.7,Calgary,2020
Canada,7,Vancouver General Hospital,84.5,Vancouver,2020
Canada,8,Foothills Medical Centre,84.3,Calgary,2020
Canada,9,Montreal General Hospital - McGill University Health Centre,83.3,Montreal,2020
Canada,10,St. Michael’s Hospital,83.2,Toronto,2020
Canada,11,Centre hospitalier de l'Université de Montréal,82.6,Montreal,2020
Canada,12,The Royal Victoria Hospital - McGill University Health Centre,82.2,Montreal,2020
Canada,13,Toronto Western - University Health Network,81.6,Toronto,2020
Canada,14,Royal Jubilee Hospital,80.2,Victoria,2020
Canada,15,Health Sciences Centre Winnipeg,79.8,Winnipeg,2020
Canada,16,Royal Columbian Hospital,79.7,New Westminster,2020
Canada,17,Queen Elizabeth II Health Sciences Centre,79,Halifax,2020
Canada,18,UBC Hospital,79,Vancouver,2020
Canada,19,Victoria General Hospital,78.8,Victoria,2020
Canada,20,The Ottawa Hospital,78.7,Ottawa,2020
Canada,21,Humber River Hospital,78.4,Toronto,2020
Canada,22,Peter Lougheed Centre,78.3,Calgary,2020
Canada,23,Queensway Carleton Hospital,78,Ottawa,2020
Canada,24,St. Joseph’s Healthcare Hamilton,77.3,Hamilton,2020
Canada,25,St. Paul’s Hospital,77.2,Saskatoon,2020
Canada,26,Royal Alexandra Hospital,76.4,Edmonton,2020
Canada,27,Grace Hospital,76.3,Winnipeg,2020
Canada,28,University of Alberta Hospital,76.2,Edmonton,2020
Canada,29,Kelowna General Hospital,76.2,Kelowna,2020
Canada,30,Kingston General Hospital,75.7,Kingston,2020
Canada,31,Southlake Regional Health Centre,75.1,Newmarket,2020
Canada,32,Lachine Hospital - McGill University Health Centre,75,Lachine,2020
Canada,33,Seven Oaks General Hospital,74.8,Winnipeg,2020
Canada,34,St. Boniface Hospital,74,Winnipeg,2020
Canada,35,Victoria Hospital - London Health Sciences Centre,73.9,London,2020
Canada,36,Grey Nuns Community Hospital - Covenant Health,73.8,Edmonton,2020
Canada,37,Misericordia Community Hospital - Covenant Health,73.6,Edmonton,2020
Canada,38,Bluewater Health,73.4,Sarnia,2020
Canada,39,The Credit Valley Hospital,72.2,Mississauga,2020
Canada,40,Dr. Georges-L.-Dumont University Hospital Centre,71.3,Moncton,2020
Canada,41,Juravinski Hospital,70.9,Hamilton,2020
France,1,Hôpital Universitaire Pitié Salpêtrière,92.2,Paris,2020
France,2,Groupe hospitalier Pellegrin,86.3,Bordeaux,2020
France,3,Hôpital Claude-Huriez,86,Lille,2020
France,4,Hôpital Lyon Sud (HCL),85.5,Pierre Benite,2020
France,5,Hôpital Paris Saint-Joseph,85.3,Paris,2020
France,6,Hôpital Européen Georges Pompidou,84.5,Paris,2020
France,7,Hôpital Purpan,84.4,Toulouse,2020
France,8,Hôpital de Hautepierre,84,Strasbourg,2020
France,9,Polyclinique Santé Atlantique,83.7,St Herblain,2020
France,10,Hopital Hôtel-Dieu,83.5,Nantes,2020
France,11,Clinique Francois Chenieux,83.3,Limoges,2020
France,12,Hôpital Central - Nancy,83.3,Nancy,2020
France,13,Hôpitaux Est (HCL),83.1,Bron,2020
France,14,Clinique Pasteur,82.9,Toulouse,2020
France,15,Hôpital de la Timone,82.9,Marseille,2020
France,16,Hôpital Edouard Herriot,82.8,Lyon,2020
France,17,Hôpital Rangueil,82.8,Toulouse,2020
France,18,Centre Hospitalier Privé - St Gregoire,82.5,St Gregoire,2020
France,19,Clinique de l'Anjou,82.4,Angers,2020
France,20,Hôpital Privé la Châtaigneraie,82.3,Beaumont,2020
France,21,Hôpital Henri-Mondor,82.2,Creteil,2020
France,22,Clinique Saint-Augustin,82.2,Bordeaux,2020
France,23,Hôpital Cochin,82.1,Paris,2020
France,24,Hôpital Bretonneau,82.1,Tours,2020
France,25,Hôpital Saint-André,82,Bordeaux,2020
France,26,Polyclinique de Bezannes,82,Bezannes,2020
France,27,CHU Grenoble - Site Nord,81.9,La Tronche,2020
France,28,Hôpital Privé Saint-Martin,81.5,Caen,2020
France,29,Hôpital Pasteur,81.3,Nice,2020
France,30,Hôpital Européen,80.9,Marseille,2020
France,31,Hôpital Privé du Confluent,80.8,Nantes,2020
France,32,Hôpital Pontchaillou,80.8,Rennes,2020
France,33,Polyclinique du Parc Rambot - Provencale,80.7,Aix En Provence,2020
France,34,Hôpital Saint-Antoine,80.5,Paris,2020
France,35,Clinique Saint-George,80.3,Nice,2020
